month,GEP_monthly,n_articles,n_gep_articles,n_trading_days,GEP_norm,GEP_norm_mean
1999-07,0.0004009663839328184,126191.0,56461.0,31.0,100.21147585901629,0.00040012022624726415
1999-08,0.00044881463029239685,118054.0,55020.0,31.0,112.16994314479889,0.00040012022624726415
1999-09,0.0004225226606887824,122635.0,55550.0,30.0,105.59892576579573,0.00040012022624726415
1999-10,0.000422969082225491,127329.0,58003.0,31.0,105.71049761531096,0.00040012022624726415
1999-11,0.00040770761424572486,128155.0,57773.0,30.0,101.89627704393327,0.00040012022624726415
1999-12,0.00044859630321393475,108796.0,50699.0,31.0,112.11537777565725,0.00040012022624726415
2000-01,0.0003833712976677999,229734.0,100734.0,31.0,95.81402601499234,0.00040012022624726415
2000-02,0.00037567259364185867,243506.0,110613.0,29.0,93.8899283261183,0.00040012022624726415
2000-03,0.0003897190534120678,243670.0,113783.0,31.0,97.40048811509752,0.00040012022624726415
2000-04,0.00040276149454948027,115179.0,52985.0,30.0,100.66011866657895,0.00040012022624726415
2000-05,0.00037616634265447293,124444.0,54858.0,31.0,94.01332848942549,0.00040012022624726415
2000-06,0.0003762312303098182,110659.0,50630.0,30.0,94.02954552897728,0.00040012022624726415
2000-07,0.0003927514708338998,104151.0,48765.0,31.0,98.15836467891762,0.00040012022624726415
2000-08,0.00039309709910912636,107343.0,47631.0,31.0,98.24474578453385,0.00040012022624726415
2000-09,0.0003844372369848289,109325.0,49385.0,30.0,96.08043077213908,0.00040012022624726415
2000-10,0.00037109709266418495,112180.0,51150.0,29.0,92.74639678796352,0.00040012022624726415
2000-11,0.0004079933459282474,121053.0,56797.0,30.0,101.96768850073525,0.00040012022624726415
2000-12,0.0004064523373208252,15816.0,7057.0,6.0,101.58255210763775,0.00040012022624726415
2001-01,0.0004022744507992797,205130.0,96989.0,31.0,100.53839431518372,0.00040012022624726415
2001-02,0.0004355456241336463,204972.0,102637.0,28.0,108.85368835728144,0.00040012022624726415
2001-03,0.000460796022714443,180413.0,95203.0,31.0,115.164391222173,0.00040012022624726415
2001-04,0.0004392919878307246,73372.0,38181.0,30.0,109.78999785910679,0.00040012022624726415
2001-05,0.0004072286127363677,108322.0,51322.0,31.0,101.7765626486252,0.00040012022624726415
2001-06,0.00039714284532518747,102356.0,48694.0,30.0,99.25587842684145,0.00040012022624726415
2001-07,0.00047522305626653216,108570.0,57827.0,31.0,118.77006586836636,0.00040012022624726415
2001-08,0.0004213667831604507,101645.0,50379.0,31.0,105.3100432118762,0.00040012022624726415
2001-09,0.00040316563916235903,100774.0,47502.0,30.0,100.76112446092962,0.00040012022624726415
2001-10,0.00041968453326556504,115565.0,57391.0,31.0,104.88960710679261,0.00040012022624726415
2001-11,0.00047548253304662425,116716.0,62446.0,30.0,118.83491557179819,0.00040012022624726415
2001-12,0.0004050948516229152,87285.0,41185.0,29.0,101.24328265589276,0.00040012022624726415
2002-01,0.00043667565022355515,182220.0,93543.0,31.0,109.13610999352497,0.00040012022624726415
2002-02,0.0004613964915081401,189692.0,98074.0,28.0,115.3144633140862,0.00040012022624726415
2002-03,0.0004796534589723907,146438.0,76145.0,31.0,119.87733373817923,0.00040012022624726415
2002-04,0.00045350202957535074,101243.0,51901.0,30.0,113.34144085360434,0.00040012022624726415
2002-05,0.00042702337981057704,105090.0,53378.0,31.0,106.72376745750599,0.00040012022624726415
2002-06,0.0004590163999097234,90395.0,46779.0,30.0,114.71961920416962,0.00040012022624726415
