Guided Topic Modeling
                    
Topic Size:            300.0                    
#227 beijing's_retaliatory          weight: 12.547
#228 graham_schumer                 weight: 12.531
#229 several_rounds                 weight: 12.492
#230 struggling_steel               weight: 12.474
#231 made_tires                     weight: 12.453
#232 tantillo                       weight: 12.357
#233 controversial_tariffs          weight: 12.160
#234 gsp_program                    weight: 12.159
#235 deliberately_undervalued       weight: 12.079
#236 fuat_oktay                     weight: 12.059
#237 unfairly_cheap                 weight: 12.016
#238 hafemeister                    weight: 11.783
#239 usmca_agreement                weight: 11.750
#240 barshevsky                     weight: 11.736
#241 subsidized_sale                weight: 11.516
#242 mcgivern                       weight: 11.503
#243 schagrin                       weight: 11.385
#244 dressing_gowns                 weight: 11.383
#245 treated_fairly                 weight: 11.252
#246 curbing_fentanyl               weight: 11.224
#247 railway_equipment              weight: 11.200
#248 wood_floor                     weight: 11.159
#249 allows_duty                    weight: 11.072
#250 even_trace                     weight: 11.064
#251 slap_hefty                     weight: 11.062
#252 qualitative_measures           weight: 11.022
#253 surtaxes                       weight: 11.014
#254 blanket_tariff                 weight: 10.992
#255 hayr                           weight: 10.933
#256 trade_remedy                   weight: 10.890
#257 hartquist                      weight: 10.880
#258 sounded_optimistic             weight: 10.645
#259 steepest_tariff                weight: 10.580
#260 comprehensive_textile          weight: 10.489
#261 ballpoint_pens                 weight: 10.390
#262 tarrifs                        weight: 10.224
#263 specific_levies                weight: 10.207
#264 auggie                         weight: 10.108
#265 oks_duties                     weight: 10.035
#266 request_countervailing         weight: 9.748
#267 cudgels                        weight: 9.645
#268 bill_threatening               weight: 9.567
#269 section_investigation          weight: 9.469
#270 urge_cooler                    weight: 9.447
#271 processed_beef                 weight: 9.443
#272 slapped_duties                 weight: 9.429
#273 activate_threatened            weight: 9.235
#274 unfair_unjustified             weight: 9.125
#275 buyamerican                    weight: 9.115
#276 underselling                   weight: 9.112
#277 tariffs_ranging                weight: 9.052
#278 unfair_retaliation             weight: 8.981
#279 opened_pivotal                 weight: 8.885
#280 had_instructed                 weight: 8.802
#281 emergency_import               weight: 8.794
#282 wooden_bedroom                 weight: 8.648
#283 wto_framework                  weight: 8.585
#284 tariff's                       weight: 8.347
#285 pecorino_cheese                weight: 8.297
#286 surging_textile                weight: 8.264
#287 huenemann                      weight: 8.138
#288 tarrif                         weight: 8.046
#289 quota_bill                     weight: 8.039
#290 restrict_steel                 weight: 8.035
#291 grant_exemptions               weight: 7.796
#292 wednesday_downplayed           weight: 7.755
#293 options_brit                   weight: 7.400
#294 poulty                         weight: 7.133
#295 turn_tense                     weight: 6.900
#296 eu's_ban                       weight: 6.358
#297 when_formulating               weight: 6.216
#298 no_kimonos                     weight: 6.053
#299 levying_tariffs                weight: 5.683
