Guided Topic Modeling
                    
Topic Size:            300.0                    
Gravity:               1.5                    
Positive seed words:   trade_war trade_tensions                    
Negative seed words:   free_trade  cooperation  
#230 ignition_defect                weight: 11.783
#231 inequality_jpmorgan            weight: 11.758
#232 fight_directs                  weight: 11.514
#233 presidents_donald              weight: 11.514
#234 dampener                       weight: 11.388
#235 clouding                       weight: 11.382
#236 bircher                        weight: 11.331
#237 putting_pressure               weight: 11.292
#238 blackrock's_turnill            weight: 11.272
#239 blunt_speech                   weight: 11.257
#240 several_rounds                 weight: 11.143
#241 alleviated                     weight: 10.988
#242 sooth                          weight: 10.920
#243 agonizingly_slow               weight: 10.848
#244 slowing_chinese                weight: 10.650
#245 region_emerges                 weight: 10.623
#246 image_relax                    weight: 10.498
#247 intensifying_trade             weight: 10.496
#248 tat_duties                     weight: 10.468
#249 proposing_higher               weight: 10.447
#250 dangerously_exposed            weight: 10.431
#251 discouraging                   weight: 10.237
#252 pompeo_chides                  weight: 10.225
#253 corporate_kowtow               weight: 10.181
#254 allows_duty                    weight: 10.005
#255 beijing's_retaliatory          weight: 9.949
#256 sonder_agrees                  weight: 9.880
#257 soar_millers                   weight: 9.862
#258 outline_commitments            weight: 9.858
#259 isquith                        weight: 9.702
#260 deteriorating_relations        weight: 9.660
#261 curbing_fentanyl               weight: 9.496
#262 compensation_culture           weight: 9.190
#263 component_shipments            weight: 9.160
#264 bruising_tariffs               weight: 9.059
#265 dispute_marking                weight: 9.051
#266 faltering_domestic             weight: 9.033
#267 hyped_trade                    weight: 9.023
#268 unexpectedly_kicked            weight: 8.940
#269 spell_colombia                 weight: 8.872
#270 nafta_renegotiation            weight: 8.758
#271 grand_experiment               weight: 8.736
#272 urge_racial                    weight: 8.397
#273 ties_blossom                   weight: 8.255
#274 yanting                        weight: 8.227
#275 andrew_robb                    weight: 8.181
#276 record_cbi                     weight: 8.085
#277 redeploy_troops                weight: 7.991
#278 create_favourable              weight: 7.976
#279 stand_offs                     weight: 7.899
#280 swallow_any                    weight: 7.856
#281 hefty_anti                     weight: 7.841
#282 escalating_tariff              weight: 7.696
#283 qatar_pledged                  weight: 7.653
#284 deere_exec                     weight: 7.626
#285 negotiating_window             weight: 7.349
#286 dumping_deposits               weight: 7.313
#287 abrafrigo                      weight: 7.209
#288 paralyzed_billions             weight: 7.148
#289 other's_imports                weight: 6.700
#290 mattock                        weight: 6.366
#291 possessing_rifle               weight: 5.862
#292 judge_inclined                 weight: 5.855
#293 reimpose_tariffs               weight: 5.703
#294 delainey                       weight: 5.638
#295 productive_discussions         weight: 5.578
#296 caveat_plastic                 weight: 5.358
#297 heaped_fresh                   weight: 5.241
#298 deadlock_broken                weight: 5.047
#299 no_kimonos                     weight: 5.009
