word,weight
sanctions_relief,0.10825025373713913
resolution,0.10775977650713475
iran_libya,0.10682778922457146
biggest_economies,0.10643817436313564
wto's_doha,0.10613191464532439
wto's,0.10587361536348265
nafta,0.10477408288200352
trans_pacific,0.10439212001256953
aggression,0.10435844726303956
sensitive_nuclear,0.10298689095473497
economic_sanctions,0.10287507748092527
tensions_between,0.10236227022142713
council_members,0.10224703203893153
trade_liberalisation,0.1021322332237367
iraq,0.10192450889449982
trade_representative's,0.10184155140616787
trade_frictions,0.10175747764000315
tougher_sanctions,0.10153365345224617
hikes,0.10120163337044673
western_powers,0.10115446991669012
imposing,0.10084602848488732
export_subsidies,0.10053635986680885
putin,0.09971471243149321
foreign_ministers,0.09970160241412153
permanent_members,0.09915715662606905
commerce_ministry,0.09887736564805731
provocation,0.09870670881626893
confrontation,0.09849311811111627
wto_talks,0.09841148772136725
developing_nations,0.09822145240259265
organization_wto,0.09815896860351359
escalate,0.09809857730046441
trade_wars,0.09807243065224469
industrial_goods,0.0979721473676949
doha,0.09758626073068154
defend,0.09729406604607488
unilateral_sanctions,0.09693179205455066
resolutions,0.09602665298371571
security_council's,0.0950574948081064
nuclear_arms,0.09486191356993591
barriers,0.09458280021850833
iaea_board,0.09457998880797307
blackmail,0.09433419458004873
wto_rules,0.09385677974772338
tariff_threat,0.09355942032175663
unfair,0.09335164246391252
sanctions_resolution,0.09328790940560598
import_duties,0.0920467629250593
imposed_sanctions,0.09157073915258512
steel_imports,0.09145169382852836
trade_disputes,0.09138411800667118
trousers_shirts,0.0913249778247555
commerce_secretary,0.09112217027537589
mandelson,0.09107197514360267
retaliated,0.09094879810502647
blinken,0.09092380630135054
pompeo,0.09028305405670584
veto_wielding,0.0902222859745709
western_diplomats,0.09000971934619871
ratcheting,0.08981307510157015
cairns_group,0.08899918477302576
nuclear_activities,0.0887929411570253
envoys,0.08873021519928066
barshefsky,0.08860481072411279
lamb_imports,0.0884596507691867
cancun_mexico,0.08833167757229811
uruguay_round,0.08830581243619447
lifting_sanctions,0.08827653208784768
restrict_imports,0.08824481232544495
trade_pacts,0.08755640842123602
possible_sanctions,0.08746103137083135
diplomats_say,0.08716625334955368
travel_bans,0.08714026361459055
punish,0.0870501028136938
domestic_demand,0.0870470465066877
arms_inspections,0.0868538759793001
threaten,0.08648574594532889
labour_standards,0.08622617445376896
wto_ministerial,0.08596589193602429
slapped,0.0856908640507717
ruled_out,0.08551286132635061
iranians,0.08511886028780861
threatening,0.08482961927566857
trade_deficits,0.08475941611324152
council_resolution,0.08459601372686758
powers,0.08413057461556984
phase_one,0.08400703144832922
provoke,0.08377723408782828
trade_friction,0.08374942856174179
doha_deal,0.08365196243612516
de_escalate,0.08361649132178417
sanctions_regime,0.08355914360438786
invade,0.08355377387030721
military_intervention,0.0833883726634599
extra_duty,0.08335977188388233
mercosur,0.08327194985450011
rich_countries,0.08321474772499675
veto_power,0.08288711322375658
pre_emptive,0.082555827297451
nuclear_ambitions,0.0824583714856968
trade_agreements,0.08202663774864476
cut,0.081879546770054
impose_tariff,0.0817522216333848
flax_yarn,0.08172682858299087
russian,0.08172109771253995
turkey,0.08157399287082626
tariff_hike,0.08156078235078781
breakthrough,0.0808775608414764
zoellick,0.08067901557776398
develop_nuclear,0.08063982799936063
sino_us,0.08056711044532042
chinese_textile,0.08023380677609764
escalating,0.07993401193003845
anti_subsidy,0.07991153754009504
trade_truce,0.07977863613741389
sino,0.07938757481306576
drafted_resolution,0.07936339208291619
tariff_cuts,0.07927223430149882
trade_liberalization,0.07924285193576033
farm_products,0.07916960735836327
unjustified,0.07875715122187125
trade_distorting,0.07835064853703001
de_gucht,0.07820974906460258
disputed_nuclear,0.07816915111150076
france_russia,0.07816130686813906
pretext,0.07812838918423409
nationalism,0.07743576762565534
punitive_action,0.07703314419367113
imported_cars,0.07687504704510481
envoy,0.07681342618195457
halt_enrichment,0.0763924915977436
eu_diplomat,0.07617532973469346
punitive_duties,0.07617389769390435
not_tolerate,0.07595688292241061
iranian_president,0.07590482031634663
agricultural_subsidies,0.07559938299197674
clothing_imports,0.07553692996815346
unprovoked,0.07540566392795825
organisation_wto,0.07516513787201252
take_unspecified,0.07504029842103364
visa_restrictions,0.07478004969155216
tariffs_imposed,0.07468209851102703
nuclear_dispute,0.07449165431471508
susan_schwab,0.0744559898661763
brittan,0.07429430813162351
reprisals,0.07396476661126099
sino_tensions,0.07334107467773514
islamic_republic's,0.07317565015442813
